Game ID,date,season,neutral,is_home,playoff,team1,team2,score1,score2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,is_win,gm_no
192009260RII,1920-09-26,1920,0,1,NA,RII,STP,48,0,1503.947,1300,0.824651201,0.175348799,1516.108,1287.838,1,1
192009260RII,1920-09-26,1920,0,0,NA,STP,RII,0,48,1300,1503.947,0.175348799,0.824651201,1287.838,1516.108,0,1
192010030AKR,1920-10-03,1920,0,1,NA,AKR,WHE,43,0,1503.42,1300,0.824212097,0.175787903,1515.278,1288.142,1,1
192010030AKR,1920-10-03,1920,0,0,NA,WHE,AKR,0,43,1300,1503.42,0.175787903,0.824212097,1288.142,1515.278,0,1
192010030BFF,1920-10-03,1920,0,1,NA,BFF,WBU,32,6,1478.004,1300,0.802000301,0.197999699,1489.757,1288.247,1,1
192010030BFF,1920-10-03,1920,0,0,NA,WBU,BFF,6,32,1300,1478.004,0.197999699,0.802000301,1288.247,1489.757,0,1
192010030CBD,1920-10-03,1920,0,1,NA,CBD,PTQ,48,0,1504.688,1300,0.825267151,0.174732849,1516.803,1287.885,1,1
192010030CBD,1920-10-03,1920,0,0,NA,PTQ,CBD,0,48,1300,1504.688,0.174732849,0.825267151,1287.885,1516.803,0,1
192010030CHI,1920-10-03,1920,0,1,NA,CHI,MUT,20,0,1368.333,1300,0.682985571,0.317014429,1386.533,1281.8,1,1
192010030CHI,1920-10-03,1920,0,0,NA,MUT,CHI,0,20,1300,1368.333,0.317014429,0.682985571,1281.8,1386.533,0,1
192010030DAY,1920-10-03,1920,0,1,NA,DAY,COL,14,0,1493.002,1504.908,0.575819124,0.424180876,1515.434,1482.475,1,1
192010030DAY,1920-10-03,1920,0,0,NA,COL,DAY,0,14,1504.908,1493.002,0.424180876,0.575819124,1482.475,1515.434,0,1
192010030RCH,1920-10-03,1920,0,1,NA,RCH,ABU,10,0,1503.42,1300,0.824212097,0.175787903,1510.934,1292.486,1,1
192010030RCH,1920-10-03,1920,0,0,NA,ABU,RCH,0,10,1300,1503.42,0.175787903,0.824212097,1292.486,1510.934,0,1
192010030RII,1920-10-03,1920,0,1,NA,RII,MUN,45,0,1516.108,1478.004,0.64417109,0.35582891,1542.135,1451.977,1,2
192010030RII,1920-10-03,1920,0,0,NA,MUN,RII,0,45,1478.004,1516.108,0.35582891,0.64417109,1451.977,1542.135,0,1
192010100AKR,1920-10-10,1920,0,1,NA,AKR,COL,37,0,1515.278,1482.475,0.637146242,0.362853758,1540.552,1457.2,1,2
192010100AKR,1920-10-10,1920,0,0,NA,COL,AKR,0,37,1482.475,1515.278,0.362853758,0.637146242,1457.2,1540.552,0,2
192010100BFF,1920-10-10,1920,0,1,NA,BFF,ABU,51,0,1489.757,1292.486,0.819024634,0.180975366,1502.536,1279.708,1,2
192010100BFF,1920-10-10,1920,0,0,NA,ABU,BFF,0,51,1292.486,1489.757,0.180975366,0.819024634,1279.708,1502.536,0,2
192010100CBD,1920-10-10,1920,0,1,NA,CBD,TLM,42,0,1516.803,1300,0.835096725,0.164903275,1527.799,1289.004,1,2
192010100CBD,1920-10-10,1920,0,0,NA,TLM,CBD,0,42,1300,1516.803,0.164903275,0.835096725,1289.004,1527.799,0,1
192010100CHI,1920-10-10,1920,0,1,NA,CHI,KEW,25,7,1386.533,1300,0.705222821,0.294777179,1402.774,1283.76,1,2
192010100CHI,1920-10-10,1920,0,0,NA,KEW,CHI,7,25,1300,1386.533,0.294777179,0.705222821,1283.76,1402.774,0,1
